predictor,predictor_column,lag_cycles,bins,n,target_entropy_bits,route_mi_bits,predictor_mi_bits,joint_route_predictor_mi_bits,predictor_given_route_mi_bits,route_given_predictor_mi_bits,null_median_predictor_given_route_mi_bits,corrected_predictor_given_route_mi_bits,corrected_predictor_given_route_norm,bootstrap_median_corrected_bits,bootstrap_q025_corrected_bits,bootstrap_q975_corrected_bits,shift_p
top-5% tail,tail_z,6,2,120,1.0,0.511766139448272,0.029049405545331364,0.6086037961382645,0.09683765668999239,0.579554390592933,0.07339674842076799,0.023440908269224403,0.023440908269224403,0.045597980365658694,-0.038316581083546124,0.16012147878760927,0.23470661672908863
top-5% tail,tail_z,6,3,120,1.584962500721156,0.9543209999682247,0.06334752852993097,1.2700420845393159,0.31572108457109116,1.206694556009385,0.18919623122331272,0.12652485334777844,0.07982829454337864,0.108882433223314,-0.007401718046459752,0.2166397441479792,0.004993757802746567
top-5% tail,tail_z,6,4,120,2.0,1.1224525048414884,0.12424603582690727,1.42054396074139,0.29809145589990116,1.2962979249144826,0.25096627229945456,0.047125183600446596,0.023562591800223298,0.1188577071397229,-0.004035543733869869,0.2716046207358233,0.14107365792759052
top-5% tail,tail_z,6,5,120,2.321928094887362,1.3265365752877853,0.3473460342194539,1.8961482288056881,0.5696116535179032,1.5488021945862345,0.34383541438164744,0.22577623913625577,0.09723653356595795,0.23635125510711547,0.07427838615528176,0.3875238157839714,0.0012484394506866417
cold loop memory,cold_loop_z,0,2,150,1.0,0.5112287620450551,0.0956185422755062,0.5915763414497073,0.08034757940465224,0.49595779917420113,0.04183971426743884,0.0385078651372134,0.0385078651372134,0.030439214067665123,-0.02003581211161554,0.10881702387625479,0.10362047440699126
cold loop memory,cold_loop_z,0,3,150,1.584962500721156,0.9498814308883972,0.2578153732772171,1.1881568260950053,0.23827539520660812,0.930341452817788,0.09780541958329744,0.14046997562331068,0.08862668710420404,0.12521563759752388,0.03434910244008501,0.24306074991785784,0.003745318352059925
cold loop memory,cold_loop_z,0,4,150,1.999871756640849,0.9502805004553825,0.2852264634262522,1.2489221586408121,0.2986416581854296,0.9636956952145601,0.19708393054342332,0.10155772764200627,0.05078212005583352,0.11701208650650119,-0.0050878337298484975,0.24985100351371273,0.03245942571785269
cold loop memory,cold_loop_z,0,5,150,2.321928094887362,1.152162016414139,0.33122514611904097,1.5133860717319485,0.3612240553178093,1.1821609256129073,0.2213635352510307,0.13986052006677863,0.060234647392714946,0.17679632735667108,0.035418132421332425,0.33520781890950413,0.006242197253433208
cold loop memory,cold_loop_z,2,2,140,1.0,0.488562019744485,0.07247341156832414,0.5955560295907254,0.10699400984624038,0.5230826180224013,0.04909368153465965,0.057900328311580734,0.057900328311580734,0.03176307812989093,-0.025249881237320852,0.11622886461650844,0.03245942571785269
cold loop memory,cold_loop_z,2,3,140,1.5848887166855343,0.9028678083946755,0.17950496776151587,0.99781662593201,0.09494881753733436,0.8183116581704941,0.10240910171620203,-0.007460284178867668,-0.0047071343876239485,0.03810789031063583,-0.0429355192043957,0.1408537187037308,0.6679151061173533
cold loop memory,cold_loop_z,2,4,140,2.0,1.0546336038460198,0.21935765152585665,1.2543400476631392,0.1997064438171191,1.0349823961372824,0.18007349167509928,0.01963295214201982,0.00981647607100991,0.04424775638161817,-0.054363484432990945,0.15701136308212402,0.32709113607990015
cold loop memory,cold_loop_z,2,5,140,2.321928094887362,1.284004746798824,0.3231337151932385,1.4511679818119385,0.16716323501311414,1.1280342666186995,0.19933773652666475,-0.03217450151355061,-0.013856803569583154,0.056126618714306686,-0.04812216267750069,0.17069270015773863,0.7478152309612984
cold loop memory,cold_loop_z,4,2,130,1.0,0.49410170989811536,0.029049405545331364,0.5868591579434295,0.09275744804531426,0.5578097523980982,0.05432312171954784,0.03843432632576642,0.03843432632576642,0.027545408581191103,-0.029855294081479442,0.10437076999710879,0.16229712858926343
cold loop memory,cold_loop_z,4,3,130,1.5848773505329043,0.906116204587619,0.15252664269894656,0.9723404117566856,0.06622420716906638,0.8198137690577391,0.08945541897789097,-0.023231211808824592,-0.014658050227680554,0.021211901002489653,-0.046181806305392786,0.11988068637152956,0.8751560549313359
cold loop memory,cold_loop_z,4,4,130,1.9998292601233936,1.0739237533495178,0.22406846217822746,1.2998020479876213,0.22587829463810383,1.0757335858093942,0.18105942307959194,0.044818871558511886,0.02241134903474033,0.0589905665984299,-0.04746440727414098,0.19686243290208796,0.1797752808988764
cold loop memory,cold_loop_z,4,5,130,2.321928094887362,1.3444440397389388,0.42930362067894273,1.5842676268507705,0.2398235871118316,1.1549640061718278,0.21013387533296207,0.029689711778869532,0.012786662879114606,0.0877542341008869,-0.017249550307711813,0.23028605446802275,0.3083645443196005
cold loop memory,cold_loop_z,6,2,120,1.0,0.511766139448272,0.0396377296845222,0.6227522906867697,0.11098615123849767,0.5831145610022475,0.04320921259639018,0.06777693864210749,0.06777693864210749,0.07959551305584761,0.0009981715191345064,0.1943654112504033,0.03745318352059925
cold loop memory,cold_loop_z,6,3,120,1.584962500721156,0.9543209999682247,0.17372008387718485,1.0303595416230213,0.07603854165479679,0.8566394577458366,0.08420895824934785,-0.008170416594551061,-0.005154958928576247,0.03131417606707562,-0.0338568384980859,0.1400630157990264,0.6803995006242197
cold loop memory,cold_loop_z,6,4,120,2.0,1.1224525048414884,0.20458147945212582,1.3685696996612517,0.24611719481976313,1.1639882202091258,0.17581635219416564,0.07030084262559749,0.035150421312798746,0.10936845271781459,-0.0031020891265963373,0.25022617439789163,0.05118601747815231
cold loop memory,cold_loop_z,6,5,120,2.321928094887362,1.3265365752877853,0.4123771432713072,1.634614245595237,0.3080776703074519,1.22223710232393,0.22243187246257615,0.08564579784487578,0.03688563742928073,0.1359103028814351,0.019558819630981054,0.27326863202316276,0.06991260923845194
