regime_id,cycle,memory_coordinate,hot_excitation_coordinate,overload_number,overload_response_asinh,overload_readout_projection,post_map_output_projection,dangerous_input_projection
R1,14,-0.0204484561198603,0.2565247815580707,-0.4760398578461868,-0.23582792160231114,0.011995090597496448,0.00570340911815742,0.1811358419178442
R1,15,0.0835696691859717,0.042851785541941,-0.5179204272612489,-0.25614989258568666,-0.007651626694051707,0.002738889258341445,0.08698499466748658
R1,16,0.0283602222042555,0.3241820423195262,-0.4555326620374693,-0.225841608599821,0.00914234654387206,0.00832063197810473,0.2642568063098114
R1,17,0.2193923916369475,0.6206761542323954,-0.4411720602304538,-0.2188352152904842,-0.0008215568788199932,0.01932063300719357,0.613608291749956
R1,18,0.0788331917165693,1.0780101955008423,-0.417726800319058,-0.20737388572376758,0.03211884074448056,0.027351058369422046,0.8686483614364869
R1,19,0.1870527521873725,0.5690542153537615,-0.3754066365373846,-0.18661822486051824,0.0008110553812155875,0.017424349480006106,0.5533838003806593
R1,20,0.3473298096101995,0.4920112481114968,-0.405760898300131,-0.2015138375104815,-0.01990050066603761,0.018876428087734213,0.5995006886649588
R1,21,0.0547643696923499,0.5146170566415345,-0.3932573063803424,-0.19538316649185394,0.013431226266716941,0.013408531270716569,0.425844534433055
R1,22,0.0578404805438066,0.6866710485553175,-0.4157447724825666,-0.20640370923062543,0.019612655307647112,0.01757865712193019,0.5582844911877226
R1,23,0.1963575479170544,0.0977658519162682,-0.45373550180195,-0.2249653820194092,-0.018089165486535403,0.006365670465379532,0.20216874771392676
R1,24,0.1255074898140406,0.7746596704786366,-0.46537146336234,-0.23063559531797,0.015437439147128489,0.021068428007322993,0.6691169028787541
R1,25,0.1771908372841582,0.5034474153272103,-0.4416486816790528,-0.21906792565147837,-0.0005815461515411863,0.01565579942157267,0.4972160247272642
R1,26,0.2308442792735848,0.4791647393800882,-0.3947559772598537,-0.19611837096208584,-0.0074576664847709456,0.016177880340175508,0.5137969090336872
R1,27,0.1091248437910819,0.927761752466428,-0.3837496276996107,-0.1907165599936395,0.023060284922558162,0.024386604525318167,0.7744996107938498
R1,28,0.0771332902254827,0.7729499403805972,-0.3811606985429663,-0.1894451335245748,0.020742145804028393,0.02003430672847126,0.6362740145974938
R1,29,0.1426235375365719,0.5429516239101534,-0.3690872372078156,-0.18351187329221547,0.00475309226926774,0.01588897180186053,0.504621398345118
R1,30,0.2309232092389703,0.6481393644085093,-0.3875781794816255,-0.1925962080266283,-0.0010602953632354777,0.020212957387169973,0.6419478207022579
R3,1,5.189181740004422,-3.2588694194602628,-0.1512654529385855,-0.07556080435517853,-0.4438510393187784,-0.4263959632731487,-0.7146357646240066
R3,2,-0.3650495826968131,-0.7312780667952341,0.0940901428104328,0.04702773500353612,-0.41175290863971054,0.4764782351619139,0.7985731977802573
R3,3,-0.309519793298096,0.919595017058178,1.636603566543645,0.7468958400065009,0.36092666352413616,-0.31166525319482913,-0.5223481357888525
R3,4,-0.5130951550545454,-0.0835182927659839,0.382096153918928,0.18990457189760607,-0.14323517103801722,0.2307639158999509,0.38675822871509885
R3,5,-0.3550673595378642,1.1628839025394473,1.7236695406059184,0.780228511074184,0.4638302830197869,-0.40771375006507693,-0.6833245448405619
R3,6,-0.2101523811025945,-0.8136050877360556,-0.0544453849617507,-0.02721933125892652,-0.4181071179768652,0.45680099606361846,0.7655943236353075
R3,7,-0.4543844508784606,1.0778547267930596,1.765680002666378,0.7960574760262535,0.40434691858200505,-0.3310366302677939,-0.5548143879552456
R3,8,0.1365644201596123,-0.9665115426109862,-0.1038968756454593,-0.05192510112773592,-0.41786225927220355,0.3981737232595134,0.66733554649641
R3,9,-0.3439416013546611,0.8936731935091357,1.7167607759366876,0.777609588607892,0.34194688872664536,-0.28673932853918643,-0.4805725122850376
R3,10,0.1636681077971491,-1.0169161759850929,-0.1305099313191159,-0.06520874261345819,-0.43557613658067146,0.411464017620588,0.6896099592274716
R3,11,-0.258034972687468,0.8936168847408211,1.671934885874651,0.7605084058259138,0.35945373450916634,-0.31884972864474903,-0.5343892514391123
R3,12,-0.0094026274369155,-0.7096320834421516,-0.0061351037678762,-0.003067547073078732,-0.32918572990867795,0.3333736068180388,0.5587311394438679
R3,13,-0.3982422058879991,1.0308728476961364,1.9149106640929163,0.8509677587454352,0.39413806359927306,-0.33020027864213997,-0.5534126702210868
R3,14,-0.1693934995869139,-0.5844092861680755,0.0124780480972743,0.006238983573239761,-0.30408850546478483,0.3350172049637789,0.561485795019402
R3,15,-0.1807365732073469,0.8498270508080275,1.6699888228170137,0.7597616915697145,0.3550347723190032,-0.32741137355098004,-0.5487384905994376
R3,16,0.031373060361619,-0.5972612042763141,0.0144235406594201,0.0072117078175871294,-0.2690407761216378,0.26588691536699705,0.4456240570577137
R3,17,-0.421809520373968,0.9023941517183424,1.551470733875137,0.7136084429902004,0.33007662143651784,-0.2616636708028897,-0.4385459374969719
R3,18,-0.1326590902917286,-0.5514029809433476,0.0405229384132006,0.020260083148826095,-0.28136954099858724,0.30593310680782715,0.5127411104672086
R3,19,-0.3724715663035962,0.9843629401215384,1.7514002205510748,0.7906955206932408,0.3779482845024708,-0.31822168200019463,-0.5333366509627726
R3,20,-0.1453407675049511,-0.6009200844503769,0.0673000547823305,0.03364368016730724,-0.3067939644822436,0.33369405074120423,0.5592682005508554
R3,21,-0.2329049104455833,0.6564179636489694,1.2147586301029367,0.5751423004796097,0.255191633494036,-0.21799408429611025,-0.365356106841622
R3,22,-0.0119003731934355,-0.5186792648679638,0.254642992095905,0.12697998505784952,-0.24163225201279906,0.2455479420174345,0.41153612231331077
R3,23,-0.1915337136026487,0.755459505672826,1.1666165234134838,0.5544592557489686,0.3093109280466536,-0.2795077113233659,-0.4684523874629706
