perm,run,tag,regime_id,cycle,null_beta1_birth_area_delta,overload_asinh,beta1_birth_area_delta
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.0578058490015525,-0.6824431173445462,-0.0278520470529016
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.05693218475296641,-0.6824431173445462,-0.0278520470529016
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.057229090104593705,-0.6824431173445462,-0.0278520470529016
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.057540436068737766,-0.6824431173445462,-0.0278520470529016
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.056745991174361354,-0.6824431173445462,-0.0278520470529016
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.05568829943225834,-0.6824431173445462,-0.0278520470529016
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.05686883407487903,-0.6824431173445462,-0.0278520470529016
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.055980307886124014,-0.6824431173445462,-0.0278520470529016
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.058817377950946714,-0.6824431173445462,-0.0278520470529016
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.054332998343414485,-0.6824431173445462,-0.0278520470529016
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.05505675796189308,-0.6824431173445462,-0.0278520470529016
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.05767338195206895,-0.6824431173445462,-0.0278520470529016
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.05573421770817977,-0.6824431173445462,-0.0278520470529016
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.0564606922885727,-0.6824431173445462,-0.0278520470529016
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.056658345191807236,-0.6824431173445462,-0.0278520470529016
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.05206956191001233,-0.6824431173445462,-0.0278520470529016
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.05411150440014434,-0.6824431173445462,-0.0278520470529016
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.05583503319320082,-0.6824431173445462,-0.0278520470529016
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.05591571200834383,-0.6824431173445462,-0.0278520470529016
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.047781722443458685,-0.5674030607659543,-0.010335387992844
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.042032843705303746,-0.5674030607659543,-0.010335387992844
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04261015169620885,-0.5674030607659543,-0.010335387992844
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04505857347522502,-0.5674030607659543,-0.010335387992844
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04138989860430775,-0.5674030607659543,-0.010335387992844
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04368343073525588,-0.5674030607659543,-0.010335387992844
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.046282805399118,-0.5674030607659543,-0.010335387992844
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04507137974948949,-0.5674030607659543,-0.010335387992844
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04402430514038419,-0.5674030607659543,-0.010335387992844
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.045258670568827986,-0.5674030607659543,-0.010335387992844
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.042537910573806736,-0.5674030607659543,-0.010335387992844
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04216049440599756,-0.5674030607659543,-0.010335387992844
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04462331829290572,-0.5674030607659543,-0.010335387992844
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04541160484210871,-0.5674030607659543,-0.010335387992844
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.0392430622115747,-0.5674030607659543,-0.010335387992844
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04304201503415672,-0.5674030607659543,-0.010335387992844
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04572749559180822,-0.5674030607659543,-0.010335387992844
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.043399478363225774,-0.5674030607659543,-0.010335387992844
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.040436415659803715,-0.5674030607659543,-0.010335387992844
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04560807782203402,-0.5674030607659543,-0.010335387992844
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04243703682925681,-0.5674030607659543,-0.010335387992844
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.043374455018099556,-0.5674030607659543,-0.010335387992844
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.041655027149383184,-0.5674030607659543,-0.010335387992844
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.04485092416770414,-0.5674030607659543,-0.010335387992844
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.0420719168884921,-0.5674030607659543,-0.010335387992844
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.051638503736953556,-0.6281614896527268,-0.018633364754428
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.05430151023321561,-0.6281614896527268,-0.018633364754428
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.05044376486058866,-0.6281614896527268,-0.018633364754428
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.05526838805580925,-0.6281614896527268,-0.018633364754428
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.04966165625166774,-0.6281614896527268,-0.018633364754428
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.05458411622620363,-0.6281614896527268,-0.018633364754428
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.055015357924985686,-0.6281614896527268,-0.018633364754428
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.05406759948507989,-0.6281614896527268,-0.018633364754428
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.05455588948787449,-0.6281614896527268,-0.018633364754428
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.049061943629499505,-0.6281614896527268,-0.018633364754428
