run,tag,regime_id,cycle,phase,n_contacts,edge_fraction,rank,beta1_birth_density,loop_force_share_partial,giant_component_fraction,added_force_fraction
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,cold,2042,1.0,2042,0.4965719882468168,0.4887548027147747,0.0081537565521258,1.0000000000000024
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,hot,6231,0.01,63,0.492063492063492,0.0876266681381256,0.0008882966910948,0.180607084667256
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,hot,6231,0.02,125,0.488,0.1207619542797587,0.0008882966910948,0.2493264804925477
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,hot,6231,0.05,312,0.4903846153846153,0.1828028285815161,0.0008882966910948,0.3754048867571203
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,hot,6231,0.1,624,0.4887820512820512,0.2467818292971423,0.0011103708638685,0.5069472573431638
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,hot,6231,0.2,1247,0.4907778668805132,0.3301206552814404,0.0013324450366422,0.6766889687378592
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,hot,6231,0.4,2493,0.4917769755314882,0.4208934773613184,0.0046635576282478,0.861091655456476
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,hot,6231,0.8,4985,0.4812437311935807,0.4814931700652518,0.0148789695758383,0.9903683005064438
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,hot,6231,1.0,6231,0.4997592681752528,0.4866673810195852,0.0157672662669331,0.9999999999999986
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,cold,6016,0.01,61,0.4918032786885246,0.0235247530693716,0.0008398656215005,0.0480462372317484
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,cold,6016,0.02,121,0.4793388429752066,0.0408226355505271,0.0016797312430011,0.085198585721346
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,cold,6016,0.05,301,0.4850498338870432,0.0863759684300769,0.0016797312430011,0.1781552008164403
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,cold,6016,0.1,602,0.4883720930232558,0.1480984870312849,0.0016797312430011,0.3036705326316367
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,cold,6016,0.2,1204,0.489202657807309,0.2423556274985731,0.0041993281075028,0.4961498075553344
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,cold,6016,0.4,2407,0.4927295388450353,0.3715305630886867,0.0204367301231802,0.7563005732377392
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,cold,6016,0.8,4813,0.5057136920839393,0.4869131910511478,0.2267637178051511,0.9802135015973488
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,cold,6016,1.0,6016,0.5242686170212766,0.4981159392306761,0.4552071668533035,1.000000000000001
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,hot,17173,0.01,172,0.4825581395348837,0.0363388274947843,0.0004285102128267,0.0754765746636136
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,hot,17173,0.02,344,0.4854651162790697,0.0625943574684075,0.0005713469504356,0.1292810460765662
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,hot,17173,0.05,859,0.4877764842840512,0.120962146641998,0.0012855306384802,0.2485821270301385
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,hot,17173,0.1,1718,0.4871944121071013,0.1887939781843964,0.0014283673760891,0.3879877804623028
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,hot,17173,0.2,3435,0.4922852983988355,0.2843364976129914,0.0072846736180545,0.5799730836548215
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,hot,17173,0.4,6870,0.497962154294032,0.3961524487985544,0.114840737037566,0.8026209618766972
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,hot,17173,0.8,13739,0.5675085522963825,0.5072175638710462,0.7313240965576346,0.9831208431010208
