run,cycle,phase,persistent_edges,created_edges,broken_edges,jaccard,persistent_fraction_of_current,created_fraction_of_current,broken_fraction_of_previous
R1_low_expansion_low_friction,10,hot,22842,3232,3024,0.7850024056636195,0.8760451024008591,0.12395489759914091,0.11691022964509394
R1_low_expansion_low_friction,11,hot,23057,2964,3017,0.7940285143604932,0.8860920026132739,0.1139079973867261,0.11570913553731686
R1_low_expansion_low_friction,12,hot,23205,3010,2816,0.799317970445386,0.8851802403204272,0.11481975967957277,0.10822028361707851
R1_low_expansion_low_friction,13,hot,23277,2873,2938,0.800226897689769,0.8901338432122371,0.1098661567877629,0.11207324051115773
R1_low_expansion_low_friction,14,hot,23283,2846,2867,0.8029728238377707,0.8910788778751578,0.10892112212484213,0.10963671128107075
R1_low_expansion_low_friction,15,hot,23376,2849,2753,0.8066809303609634,0.8913632030505243,0.10863679694947569,0.10536185847143022
R1_low_expansion_low_friction,16,hot,23459,2716,2766,0.8105801458138973,0.8962368672397326,0.10376313276026743,0.10547187797902764
R1_low_expansion_low_friction,17,hot,23441,2750,2734,0.8104062229904927,0.8950020999580008,0.10499790004199916,0.10445081184336198
R1_low_expansion_low_friction,18,hot,23460,2753,2731,0.810530679933665,0.8949757753786289,0.10502422462137108,0.10427246000534535
R1_low_expansion_low_friction,19,hot,23545,2785,2668,0.8119525484516174,0.8942271173566274,0.10577288264337258,0.10178155876854995
R1_low_expansion_low_friction,20,hot,23649,2746,2681,0.8133512174989682,0.8959651449138094,0.10403485508619056,0.10182301557159135
R1_low_expansion_low_friction,21,hot,23625,2738,2770,0.8109360518999074,0.896142320676706,0.10385767932329401,0.10494411820420534
R1_low_expansion_low_friction,22,hot,23737,2695,2626,0.8168834744304494,0.8980402542372882,0.10195974576271187,0.09960930091416
R1_low_expansion_low_friction,23,hot,23806,2559,2626,0.8211513918112517,0.9029395031291485,0.09706049687085151,0.09934927360774819
R1_low_expansion_low_friction,24,hot,23660,2634,2705,0.8158902031104521,0.8998250551456606,0.10017494485433939,0.10259814147544093
R1_low_expansion_low_friction,25,hot,23789,2644,2505,0.8220678692376806,0.8999735179510461,0.10002648204895397,0.09526888263482164
R1_low_expansion_low_friction,26,hot,23885,2496,2548,0.8256420892529988,0.9053864523710246,0.0946135476289754,0.096394658192411
R1_low_expansion_low_friction,27,hot,23826,2618,2555,0.8216145384323598,0.9009983361064892,0.09900166389351081,0.09685000568591032
R1_low_expansion_low_friction,28,hot,23870,2559,2574,0.8230183084508499,0.903174543115517,0.09682545688448295,0.0973377703826955
R1_low_expansion_low_friction,29,hot,23827,2464,2602,0.8246634132834942,0.9062797154919935,0.09372028450800654,0.09845245752771577
R1_low_expansion_low_friction,30,hot,23891,2570,2400,0.8277952946883337,0.9028759306148672,0.09712406938513284,0.09128599140390248
R1_low_expansion_low_friction,1,cold_to_hot,7905,6546,7677,0.3572396963123644,0.5470209674070998,0.4529790325929001,0.49268386599922986
R1_low_expansion_low_friction,2,cold_to_hot,16027,7261,3469,0.5989834435848563,0.6882085194091377,0.31179148059086226,0.17793393516618794
R1_low_expansion_low_friction,3,cold_to_hot,15190,9352,2493,0.5618642500462364,0.618938961779806,0.38106103822019394,0.14098286489849007
R1_low_expansion_low_friction,4,cold_to_hot,15642,9388,2282,0.5727152899824253,0.6249300838993208,0.3750699161006792,0.12731533139924123
R1_low_expansion_low_friction,5,cold_to_hot,15662,9774,2175,0.5672376951215096,0.6157414687844001,0.38425853121559994,0.12193754555138196
R1_low_expansion_low_friction,6,cold_to_hot,15901,9625,2182,0.5738775804821712,0.6229334795894382,0.37706652041056177,0.12066581872476911
R1_low_expansion_low_friction,7,cold_to_hot,15901,9761,2195,0.5708080554259253,0.6196321409087366,0.38036785909126336,0.12129752431476569
R1_low_expansion_low_friction,8,cold_to_hot,15756,10024,2148,0.5641649957032369,0.6111714507370054,0.3888285492629946,0.11997319034852547
R1_low_expansion_low_friction,9,cold_to_hot,15705,10161,2156,0.5604525016058811,0.6071677105080028,0.3928322894919972,0.12070992665584233
