run,cycle,phase,contacts,Z_geom,mean_positive_overlap_m,overlap_p90_m,overlap_p99_m,orientation_entropy,bottom_top_percolation_edge_fraction,bottom_side_percolation_edge_fraction,giant_fraction_after_top5_edges,giant_fraction_after_top10_edges,cycle_births_during_overlap_filtration,cycle_birth_count,cycle_birth_positive_count,cycle_birth_overlap_median,cycle_birth_overlap_p90,cycle_birth_positive_fraction,force_proxy_q99_q50,force_proxy_gini,net_force_p99_N
R1_low_expansion_low_friction,12,hot,26215.0,5.185441598259321,1.1872863073866767e-07,1.5790039296094935e-07,4.1867266290563947e-07,0.9312013339882199,0.5049399198931909,0.00015258439824527943,0.08386905350608248,0.15705667095242806,16248.0,16248.0,3597.0,0.0,6.718627530571953e-08,0.2213810930576071,14.077521998213731,0.5981750827576264,0.000241979159877
R1_low_expansion_low_friction,13,cold,17934.0,3.547423598061517,3.4325337207432853e-07,5.255920002428639e-07,7.90586418114903e-07,0.9458822906023903,0.977194156351065,0.0006691201070592171,0.0023736524577193155,0.0638908119869449,9286.0,9286.0,4721.0,1.2959503680257112e-08,3.5666142188142506e-07,0.508399741546414,4.0875520418954325,0.4178674115838534,0.0007186643185578
R1_low_expansion_low_friction,13,hot,26150.0,5.172584314113342,1.1990487957148e-07,1.6449603479958702e-07,4.133556606563285e-07,0.9309990944266064,0.43835564053537285,0.0008030592734225621,0.09069330432202552,0.16922163979823954,16179.0,16179.0,3747.0,0.0,7.470173414873481e-08,0.23159651399962916,12.97054375207409,0.5918290652936131,0.0002474243555707
R1_low_expansion_low_friction,14,cold,18064.0,3.5731381663534765,3.435202540298382e-07,5.309382459104968e-07,8.013459272016084e-07,0.9466564958548519,,0.001162533215234721,0.0041538918010088025,0.030956384136089407,9368.0,9368.0,4842.0,2.7949798349228075e-08,3.615161496965758e-07,0.5168659265584971,4.152810964554516,0.4219433110390007,0.0007176753885945
R1_low_expansion_low_friction,14,hot,26129.0,5.168430422312333,1.1701489715011939e-07,1.5576016642480588e-07,4.0398933727862967e-07,0.9319271839391116,0.4932067817367676,0.00022962991312334952,0.08475917317772723,0.15883691029571753,16170.0,16170.0,3441.0,0.0,6.420100822806305e-08,0.21280148423005565,14.04649262001033,0.6040404867113548,0.0002309988226441
R1_low_expansion_low_friction,15,cold,17892.0,3.5391158144594996,3.3551585157609486e-07,5.139545642457574e-07,7.716817481804728e-07,0.9471541446241744,0.8436731500111782,0.00033534540576794097,0.003164869943625754,0.03056077539313619,9245.0,9245.0,4780.0,2.774099650318905e-08,3.52914246834566e-07,0.5170362358031368,4.005217126389906,0.4162172306104131,0.0006648422903209
R1_low_expansion_low_friction,15,hot,26225.0,5.1874196419740874,1.1559297075181606e-07,1.4721158673046585e-07,4.115468013247954e-07,0.9312913801939162,0.4447664442326025,0.0007244995233555767,0.08792404312135298,0.16061714963900703,16254.0,16254.0,3267.0,0.0,5.866925031502122e-08,0.2009966777408638,16.001497253930655,0.6151375242957311,0.0002287329023152
R1_low_expansion_low_friction,16,cold,18023.0,3.5650281871229352,3.3927896353768773e-07,5.183962773114455e-07,7.893700633951076e-07,0.9452870091275758,0.9941741108583476,0.0004993619264273429,0.0035604786865789735,0.04193452675304124,9360.0,9360.0,4776.0,1.9042962576395692e-08,3.5535390632650526e-07,0.5102564102564102,4.04352768904591,0.4189131252971573,0.0007243539093253
R1_low_expansion_low_friction,16,hot,26175.0,5.177529423400257,1.198198758431143e-07,1.582741080447417e-07,4.3050933776675237e-07,0.9314930690664142,0.4322445081184336,0.00045845272206303727,0.09108891306497874,0.16308970428246464,16223.0,16223.0,3491.0,0.0,6.770718347852252e-08,0.21518831288910806,15.780218492461504,0.6154692296747241,0.0002104170674674
R1_low_expansion_low_friction,17,cold,18103.0,3.580852536841064,3.393160776985511e-07,5.224306926834498e-07,7.905061597337835e-07,0.9457807282000689,0.9354250676683422,0.0014362260398828924,0.0034615765008406685,0.022648600534071802,9380.0,9380.0,4770.0,1.577152499191662e-08,3.5075481066417036e-07,0.5085287846481876,4.246962496812663,0.4211954261950268,0.0006875394744318
R1_low_expansion_low_friction,17,hot,26191.0,5.180694293343883,1.2018740345785897e-07,1.5896588141748463e-07,4.2807926349493806e-07,0.9311779114676535,0.43660035890191284,0.0002290863273643618,0.0922757392938384,0.16625457422609038,16245.0,16245.0,3539.0,0.0,7.110725685002818e-08,0.21785164666051093,14.457666709965444,0.609356643267661,0.0002293448075923
R1_low_expansion_low_friction,18,cold,18155.0,3.591138364157848,3.446123302887469e-07,5.285845052909865e-07,7.798251913003004e-07,0.9463638408444386,0.9321399063618838,0.0013770311209033324,0.002571456829195925,0.02195628523390367,9430.0,9430.0,4904.0,3.219332000905118e-08,3.594207772582986e-07,0.5200424178154825,3.979816484216459,0.4128205897799539,0.0007198623583779
